jdb	vrad	svrad	fwhm	contrast	bis_span	noise	s_mw	sig_s	rhk	sig_rhk	sn_CaII	sn10	sn50	sn60
---	----	-----	----	--------	--------	-----	----	-----	---	-------	-------	----	----	----
56070.524109	-0.32578	0.00060	7.04117	53.386	-0.03327	0.00046	0.147942	0.000655	-5.0871	0.0047	43.40	66.10	168.20	179.60
56070.529293	-0.32580	0.00061	7.03845	53.396	-0.03309	0.00048	0.145774	0.000710	-5.1028	0.0052	40.50	62.30	161.20	173.80
56070.531064	-0.32488	0.00061	7.03901	53.403	-0.03409	0.00048	0.146218	0.000715	-5.0996	0.0052	40.50	61.60	163.10	177.90
56070.532985	-0.32329	0.00063	7.03855	53.420	-0.03333	0.00050	0.146684	0.000731	-5.0962	0.0053	39.80	59.90	155.30	170.30
56070.534779	-0.32636	0.00074	7.04029	53.485	-0.03407	0.00064	0.142268	0.001206	-5.1294	0.0094	27.40	43.50	126.20	149.20
56070.536562	-0.32538	0.00076	7.04225	53.506	-0.03082	0.00066	0.142760	0.001285	-5.1256	0.0100	26.30	40.80	122.30	148.10
56070.540774	-0.32607	0.00064	7.03664	53.416	-0.03220	0.00051	0.145523	0.000847	-5.1047	0.0063	35.50	56.30	155.10	168.40
56070.542591	-0.32204	0.00067	7.03956	53.430	-0.03316	0.00056	0.143424	0.001092	-5.1205	0.0084	29.30	48.50	148.00	167.90
56070.544374	-0.32632	0.00072	7.03792	53.467	-0.03231	0.00061	0.139852	0.001393	-5.1488	0.0114	24.50	42.70	134.90	154.10
56070.546179	-0.32828	0.00085	7.03730	53.539	-0.03412	0.00076	0.134799	0.002107	-5.1922	0.0191	18.30	34.40	106.90	125.30
56070.548089	-0.32554	0.00119	7.03555	53.258	-0.02775	0.00112	0.111200	0.004570	-5.4859	0.0813	10.40	23.60	73.10	80.90
56070.549999	-0.32699	0.00094	7.04101	53.559	-0.02766	0.00086	0.132173	0.002164	-5.2166	0.0207	18.10	31.60	94.40	104.60
56070.551827	-0.32432	0.00068	7.03930	53.446	-0.03463	0.00056	0.144398	0.001044	-5.1131	0.0079	30.50	48.10	144.30	165.80
56070.553772	-0.32223	0.00067	7.03735	53.445	-0.03174	0.00055	0.144090	0.000889	-5.1154	0.0067	34.30	51.20	145.10	165.30
56070.555542	-0.32440	0.00070	7.03808	53.440	-0.03190	0.00058	0.148511	0.000800	-5.0831	0.0056	37.40	54.00	127.90	138.40
56070.557452	-0.32402	0.00081	7.03443	53.476	-0.03139	0.00071	0.146537	0.000817	-5.0972	0.0059	36.80	50.40	91.80	95.40
56070.564697	-0.32330	0.00070	7.03721	53.485	-0.03457	0.00058	0.140633	0.001266	-5.1424	0.0102	26.40	43.50	143.10	169.70
56070.566618	-0.32145	0.00067	7.03773	53.457	-0.03071	0.00055	0.143009	0.001235	-5.1237	0.0095	26.90	45.40	152.80	178.80
56070.568389	-0.32199	0.00066	7.03841	53.433	-0.03249	0.00054	0.148008	0.000871	-5.0867	0.0062	35.00	54.00	148.90	163.20
56070.578805	-0.32181	0.00068	7.03738	53.466	-0.03056	0.00056	0.138533	0.001429	-5.1597	0.0120	24.10	42.60	153.70	180.10
56071.443906	-0.32992	0.00105	7.03693	53.419	-0.03370	0.00096	0.145345	0.002193	-5.1060	0.0163	20.30	30.50	83.60	101.60
56071.445769	-0.33310	0.00104	7.03656	53.427	-0.03235	0.00095	0.142926	0.002362	-5.1243	0.0183	19.10	30.70	84.10	102.40
56071.447528	-0.33567	0.00203	7.04980	53.307	-0.03620	0.00198	0.127614	0.007538	-5.2626	0.0802	8.30	16.40	42.90	47.20
56071.464669	-0.33269	0.00081	7.03856	53.407	-0.03315	0.00068	0.149731	0.001245	-5.0746	0.0086	29.90	44.00	114.40	134.30
56071.466439	-0.33199	0.00079	7.03498	53.408	-0.03261	0.00066	0.148835	0.001221	-5.0808	0.0085	30.20	44.90	118.70	136.80
